3:57:19:123:179:213,3:57:19:124:946:779
3:57:39:156:278:452,3:57:39:157:358:412
3:57:59:174:611:227,3:57:59:176:853:416
3:58:19:196:66:85,3:58:19:197:739:302
3:58:39:226:7:383,3:58:39:227:830:267
3:58:59:239:713:848,3:58:59:240:903:216
3:59:19:285:362:897,3:59:19:294:647:389
3:59:39:302:618:118,3:59:39:303:694:492
3:59:59:330:452:630,3:59:59:331:114:973
4:0:19:363:276:607,4:0:19:363:886:342
4:0:39:392:653:641,4:0:39:394:139:268
4:0:59:429:922:237,4:0:59:430:688:147
4:1:19:460:331:880,4:1:19:470:952:27
4:1:39:496:765:841,4:1:39:500:397:943
4:1:59:530:139:562,4:1:59:530:772:208
4:2:19:561:841:143,4:2:19:562:749:300
4:2:39:604:307:129,4:2:39:604:965:643
4:2:59:633:373:732,4:2:59:636:250:646
4:3:19:677:541:40,4:3:19:684:919:332
4:3:39:711:781:820,4:3:39:712:316:23
4:3:59:742:14:818,4:3:59:743:924:254
4:4:19:771:344:330,4:4:19:772:12:167
4:4:39:808:361:799,4:4:39:809:831:228
4:4:59:840:451:582,4:4:59:840:715:605
4:5:19:867:637:204,4:5:19:874:389:388
4:5:39:926:494:999,4:5:39:989:900:206
4:5:59:960:427:350,4:5:59:978:518:380
4:6:19:989:780:852,4:6:19:989:896:716
4:6:40:37:332:507,4:6:40:39:196:832
4:7:0:99:179:925,4:7:0:100:528:331
4:7:20:132:385:245,4:7:20:132:716:754
4:7:40:151:508:317,4:7:40:151:840:77
4:8:0:238:728:250,4:8:0:264:829:460
4:8:20:300:301:82,4:8:20:324:883:781
4:8:40:377:549:476,4:8:40:426:106:932
4:9:0:431:162:299,4:9:0:480:57:460
4:9:20:566:11:137,4:9:20:626:253:896
4:9:40:661:822:57,4:9:40:672:583:791
4:10:0:737:620:553,4:10:0:779:713:675
4:10:20:769:8:239,4:10:20:770:300:493
4:10:40:872:93:981,4:10:40:890:190:252
4:11:0:969:729:194,4:11:1:2:317:657
4:11:20:979:455:376,4:11:20:980:622:920
4:11:41:41:580:701,4:11:41:45:444:473
4:12:1:68:821:760,4:12:1:70:917:78
4:12:21:99:730:497,4:12:21:103:712:449
4:12:41:129:902:671,4:12:41:132:795:707
4:13:1:161:157:699,4:13:1:163:592:328
4:13:21:175:59:533,4:13:21:178:302:280
4:13:41:213:532:384,4:13:41:215:874:87
4:14:1:266:915:586,4:14:1:294:823:391
4:14:21:313:831:913,4:14:21:317:378:214
4:14:41:398:62:579,4:14:41:433:807:586
4:15:1:483:850:264,4:15:1:506:414:435
4:15:21:542:929:725,4:15:21:556:467:819
4:15:41:613:384:265,4:15:41:636:998:234
4:16:1:662:274:978,4:16:1:726:197:137
4:16:21:726:914:8,4:16:21:785:852:511
4:16:41:803:514:817,4:16:41:825:559:839
4:17:2:548:824:96,4:17:2:738:587:200
4:17:22:581:827:594,4:17:22:585:897:74
4:17:42:636:854:826,4:17:42:663:733:476
4:18:2:664:239:633,4:18:2:667:820:402
4:18:22:698:24:992,4:18:22:702:315:124
4:18:42:763:470:288,4:18:42:779:896:52
4:19:2:851:354:161,4:19:2:871:483:566
4:19:22:916:45:473,4:19:22:957:588:654
4:19:42:964:775:169,4:19:42:969:476:685
4:20:3:26:579:737,4:20:3:69:211:348
4:20:23:53:523:618,4:20:23:58:938:722
4:20:43:108:152:183,4:20:43:137:535:317
4:21:3:165:282:666,4:21:3:238:98:529
4:21:23:259:342:833,4:21:23:275:862:100
4:21:43:324:896:29,4:21:43:349:541:398
4:22:3:355:440:899,4:22:3:360:647:941
4:22:23:433:568:61,4:22:23:461:865:251
4:22:43:463:650:425,4:22:43:474:494:957
4:23:3:497:193:98,4:23:3:502:322:602
4:23:23:526:832:315,4:23:23:534:117:526
4:23:43:567:315:356,4:23:43:572:931:215
4:24:3:599:730:932,4:24:3:607:585:404
4:24:23:629:451:716,4:24:23:635:136:615
4:24:43:753:92:928,4:24:43:772:496:347
4:25:3:777:757:851,4:25:3:784:176:570
4:25:23:876:131:283,4:25:23:908:708:451
4:25:43:906:776:880,4:25:43:912:200:4
4:26:3:934:816:985,4:26:3:941:282:493
4:26:24:6:899:542,4:26:24:30:205:397
4:26:44:37:191:829,4:26:44:45:634:316
4:27:4:70:981:975,4:27:4:95:26:684
4:27:24:99:304:35,4:27:24:110:724:915
4:27:44:130:358:638,4:27:44:136:270:19
4:28:4:162:249:631,4:28:4:168:794:878
4:28:24:196:516:817,4:28:24:203:996:577
4:28:44:229:626:126,4:28:44:235:895:965
4:29:4:243:590:290,4:29:4:252:167:3
4:29:24:276:267:13,4:29:24:282:735:958
4:29:44:307:148:449,4:29:44:314:42:376
4:30:4:347:273:57,4:30:4:353:875:849
4:30:24:377:288:851,4:30:24:384:21:911
4:30:44:521:55:813,4:30:44:546:684:700
4:31:4:629:367:340,4:31:4:646:129:357
4:31:24:646:513:589,4:31:24:652:878:273
4:31:44:716:78:906,4:31:44:770:595:61
4:32:4:803:883:795,4:32:4:827:384:270
4:32:24:909:706:991,4:32:24:994:395:435
4:32:45:25:566:950,4:32:45:97:73:829
4:33:5:157:111:413,4:33:5:178:964:257
4:33:25:228:366:979,4:33:25:244:48:562
4:33:45:298:238:795,4:33:45:327:391:453
4:34:5:373:372:172,4:34:5:408:757:361
4:34:25:399:378:688,4:34:25:406:476:496
4:34:45:504:864:881,4:34:45:540:956:46
4:35:5:570:501:670,4:35:5:601:718:445
4:35:25:650:57:9,4:35:25:662:438:217
